Heart,Intervention,NumClips,Pressure,FlowRate,Pin,Force,ForceDifference,PressureDifference,FlowDifference,ClipOrder,Treatment,AnnularArea,AnnularPerimeter,SLDiameter,APDiameter,CoaptationGapArea
3,Control,0,36.7018432784289,54.4807015333825,7,0.0427862346162082,0,0,0,None,0,1561.93054511574,144.081583790869,42.8161267807928,37.2176730177185,23.7044537210663
3,Control,0,36.7018432784289,54.4807015333825,8,-0.0936583285169477,0,0,0,None,0,1561.93054511574,144.081583790869,42.8161267807928,37.2176730177185,23.7044537210663
4,Control,0,35.169752837755,39.4791906594491,1,-0.423711169528837,0,0,0,None,0,1480.14626275553,140.502458127212,38.2324365440265,40.2770741827427,11.3154307397713
4,Control,0,35.169752837755,39.4791906594491,2,-0.00288041102050906,0,0,0,None,0,1480.14626275553,140.502458127212,38.2324365440265,40.2770741827427,11.3154307397713
4,Control,0,35.169752837755,39.4791906594491,3,0.0267723369766388,0,0,0,None,0,1480.14626275553,140.502458127212,38.2324365440265,40.2770741827427,11.3154307397713
4,Control,0,35.169752837755,39.4791906594491,4,-0.127145108650209,0,0,0,None,0,1480.14626275553,140.502458127212,38.2324365440265,40.2770741827427,11.3154307397713
4,Control,0,35.169752837755,39.4791906594491,5,-0.220112331522911,0,0,0,None,0,1480.14626275553,140.502458127212,38.2324365440265,40.2770741827427,11.3154307397713
4,Control,0,35.169752837755,39.4791906594491,6,-0.142610401334573,0,0,0,None,0,1480.14626275553,140.502458127212,38.2324365440265,40.2770741827427,11.3154307397713
4,Control,0,35.169752837755,39.4791906594491,7,0.0383193227524368,0,0,0,None,0,1480.14626275553,140.502458127212,38.2324365440265,40.2770741827427,11.3154307397713
4,Control,0,35.169752837755,39.4791906594491,8,-0.469934844255114,0,0,0,None,0,1480.14626275553,140.502458127212,38.2324365440265,40.2770741827427,11.3154307397713
5,Control,0,36.973153642473,55.3355928237879,1,-0.194687854849928,0,0,0,None,0,1036.73038080127,117.770721067273,34.8216137928928,34.5370317984777,15.053608581971
5,Control,0,36.973153642473,55.3355928237879,2,-0.0725640159204182,0,0,0,None,0,1036.73038080127,117.770721067273,34.8216137928928,34.5370317984777,15.053608581971
5,Control,0,36.973153642473,55.3355928237879,3,-0.0357506979608763,0,0,0,None,0,1036.73038080127,117.770721067273,34.8216137928928,34.5370317984777,15.053608581971
5,Control,0,36.973153642473,55.3355928237879,4,-0.0528511608806718,0,0,0,None,0,1036.73038080127,117.770721067273,34.8216137928928,34.5370317984777,15.053608581971
5,Control,0,36.973153642473,55.3355928237879,5,-0.13056894194406,0,0,0,None,0,1036.73038080127,117.770721067273,34.8216137928928,34.5370317984777,15.053608581971
5,Control,0,36.973153642473,55.3355928237879,6,-0.1295333407026,0,0,0,None,0,1036.73038080127,117.770721067273,34.8216137928928,34.5370317984777,15.053608581971
5,Control,0,36.973153642473,55.3355928237879,7,-0.0617372994169951,0,0,0,None,0,1036.73038080127,117.770721067273,34.8216137928928,34.5370317984777,15.053608581971
5,Control,0,36.973153642473,55.3355928237879,8,-0.0889997586968393,0,0,0,None,0,1036.73038080127,117.770721067273,34.8216137928928,34.5370317984777,15.053608581971
